ID,x0,x1,u0,u1
104,2.10331,8.56244,0,1
105,2.17546,8.62308,0,1
106,2.24854,8.68258,0,1
107,2.32256,8.74093,0,1
108,2.39748,8.79811,0,1
109,2.47329,8.8541,0,1
110,2.54997,8.9089,0,1
111,2.6275,8.96248,0,1
112,2.70586,9.01484,0,1
113,2.78504,9.06597,0,1
114,2.86501,9.11584,0,1
115,2.94575,9.16445,0,1
116,3.02725,9.21179,0,1
117,3.10948,9.25784,0,1
118,3.19242,9.30259,0,1
119,3.27606,9.34604,0,1
120,3.36036,9.38817,0,1
121,3.44532,9.42896,0,1
122,3.53091,9.46842,0,1
123,3.61711,9.50653,0,1
124,3.7039,9.54328,0,1
125,3.79125,9.57866,0,1
126,3.87915,9.61266,0,1
127,3.96757,9.64528,0,1
128,4.0565,9.67651,0,1
129,4.1459,9.70634,0,1
130,4.23576,9.73476,0,1
131,4.32605,9.76176,0,1
132,4.41676,9.78734,0,1
133,4.50786,9.8115,0,1
134,4.59933,9.83422,0,1
135,4.69114,9.8555,0,1
136,4.78328,9.87534,0,1
137,4.87571,9.89372,0,1
138,4.96843,9.91066,0,1
139,5.06139,9.92613,0,1
140,5.15459,9.94014,0,1
141,5.248,9.95269,0,1
142,5.34159,9.96377,0,1
143,5.43535,9.97337,0,1
144,5.52925,9.9815,0,1
145,5.62326,9.98816,0,1
146,5.71736,9.99334,0,1
147,5.81154,9.99704,0,1
148,5.90576,9.99926,0,1
149,6,10,0,1
150,6.08163,10,0,1
151,6.16327,10,0,1
152,6.2449,10,0,1
153,6.32653,10,0,1
154,6.40816,10,0,1
155,6.4898,10,0,1
156,6.57143,10,0,1
157,6.65306,10,0,1
158,6.73469,10,0,1
159,6.81633,10,0,1
160,6.89796,10,0,1
161,6.97959,10,0,1
162,7.06122,10,0,1
163,7.14286,10,0,1
164,7.22449,10,0,1
165,7.30612,10,0,1
166,7.38776,10,0,1
167,7.46939,10,0,1
168,7.55102,10,0,1
169,7.63265,10,0,1
170,7.71429,10,0,1
171,7.79592,10,0,1
172,7.87755,10,0,1
173,7.95918,10,0,1
174,8.04082,10,0,1
175,8.12245,10,0,1
176,8.20408,10,0,1
177,8.28571,10,0,1
178,8.36735,10,0,1
179,8.44898,10,0,1
180,8.53061,10,0,1
181,8.61224,10,0,1
182,8.69388,10,0,1
183,8.77551,10,0,1
184,8.85714,10,0,1
185,8.93878,10,0,1
186,9.02041,10,0,1
187,9.10204,10,0,1
188,9.18367,10,0,1
189,9.26531,10,0,1
190,9.34694,10,0,1
191,9.42857,10,0,1
192,9.5102,10,0,1
193,9.59184,10,0,1
194,9.67347,10,0,1
195,9.7551,10,0,1
196,9.83673,10,0,1
197,9.91837,10,0,1
198,10,10,0,1
199,0.0816327,0,0,1
200,0.0817269,0.0815353,0,1
201,0.0818217,0.16307,0,1
202,0.0819174,0.244604,0,1
203,0.0820145,0.326137,0,1
204,0.0821133,0.407668,0,1
205,0.0822142,0.489198,0,1
206,0.0823176,0.570725,0,1
207,0.0824239,0.652251,0,1
208,0.0825336,0.733773,0,1
209,0.082647,0.815293,0,1
210,0.0827647,0.896809,0,1
211,0.0828872,0.978322,0,1
212,0.0830148,1.05983,0,1
213,0.0831482,1.14133,0,1
214,0.0832878,1.22283,0,1
215,0.0834343,1.30433,0,1
216,0.0835883,1.38582,0,1
217,0.0837504,1.4673,0,1
218,0.0839212,1.54878,0,1
219,0.0841015,1.63026,0,1
220,0.084292,1.71172,0,1
221,0.0844936,1.79318,0,1
222,0.0847071,1.87464,0,1
223,0.0849333,1.95609,0,1
224,0.0851734,2.03753,0,1
225,0.0854283,2.11896,0,1
226,0.0856992,2.20039,0,1
227,0.0859872,2.28182,0,1
228,0.0862938,2.36323,0,1
229,0.0866203,2.44464,0,1
230,0.0869684,2.52605,0,1
231,0.0873397,2.60745,0,1
232,0.0877362,2.68885,0,1
233,0.0881599,2.77025,0,1
234,0.0886132,2.85165,0,1
235,0.0890988,2.93305,0,1
236,0.0896196,3.01446,0,1
237,0.0901792,3.09588,0,1
238,0.0907815,3.17732,0,1
239,0.0914313,3.25878,0,1
240,0.0921344,3.34027,0,1
241,0.0928977,3.42181,0,1
242,0.0937304,3.50341,0,1
243,0.0946442,3.58512,0,1
244,0.0956556,3.66697,0,1
245,0.096789,3.74905,0,1
246,0.0980835,3.83153,0,1
247,0.0996105,3.91476,0,1
248,0.101521,3.99958,0,1
249,0.104199,4.08838,0,1
250,0.107959,4.17889,0,1
251,0.112942,4.27016,0,1
252,0.119217,4.3618,0,1
253,0.126823,4.4536,0,1
254,0.135783,4.54544,0,1
255,0.146111,4.63724,0,1
256,0.157818,4.72895,0,1
257,0.170909,4.82052,0,1
258,0.185388,4.91192,0,1
259,0.201257,5.00312,0,1
260,0.218516,5.09408,0,1
261,0.237165,5.18478,0,1
262,0.257202,5.27519,0,1
263,0.278625,5.36529,0,1
264,0.301431,5.45505,0,1
265,0.325615,5.54445,0,1
266,0.351175,5.63346,0,1
267,0.378104,5.72206,0,1
268,0.406398,5.81023,0,1
269,0.436051,5.89795,0,1
270,0.467056,5.9852,0,1
271,0.499407,6.07195,0,1
272,0.533096,6.15818,0,1
273,0.568117,6.24387,0,1
274,0.604462,6.329,0,1
275,0.642121,6.41355,0,1
276,0.681087,6.49749,0,1
277,0.72135,6.58082,0,1
278,0.762902,6.6635,0,1
279,0.805732,6.74552,0,1
280,0.84983,6.82685,0,1
281,0.895187,6.90749,0,1
282,0.941791,6.9874,0,1
283,0.989632,7.06658,0,1
284,1.0387,7.14499,0,1
285,1.08898,7.22262,0,1
286,1.14046,7.29946,0,1
287,1.19313,7.37548,0,1
288,1.24698,7.45067,0,1
289,1.30199,7.525,0,1
290,1.35815,7.59846,0,1
291,1.41545,7.67104,0,1
292,1.47387,7.74271,0,1
293,1.53341,7.81346,0,1
294,1.59404,7.88327,0,1
295,1.65575,7.95212,0,1
296,1.71853,8.02,0,1
297,1.78236,8.08689,0,1
298,1.84722,8.15278,0,1
299,1.91311,8.21764,0,1
300,1.98,8.28147,0,1
301,2.04788,8.34425,0,1
302,2.11673,8.40596,0,1
303,2.18654,8.46659,0,1
304,2.25729,8.52612,0,1
305,2.32896,8.58455,0,1
306,2.40154,8.64185,0,1
307,2.475,8.69801,0,1
308,2.54933,8.75302,0,1
309,2.62452,8.80687,0,1
310,2.70054,8.85954,0,1
311,2.77738,8.91102,0,1
312,2.85501,8.9613,0,1
313,2.93342,9.01037,0,1
314,3.0126,9.05821,0,1
315,3.09251,9.10481,0,1
316,3.17314,9.15017,0,1
317,3.25448,9.19427,0,1
318,3.3365,9.2371,0,1
319,3.41918,9.27865,0,1
320,3.50251,9.31891,0,1
321,3.58645,9.35788,0,1
322,3.671,9.39554,0,1
323,3.75613,9.43188,0,1
324,3.84182,9.4669,0,1
325,3.92805,9.50059,0,1
326,4.0148,9.53294,0,1
327,4.10204,9.56395,0,1
328,4.18976,9.5936,0,1
329,4.27794,9.6219,0,1
330,4.36654,9.64882,0,1
331,4.45555,9.67438,0,1
332,4.54495,9.69857,0,1
333,4.63471,9.72137,0,1
334,4.72481,9.7428,0,1
335,4.81522,9.76283,0,1
336,4.90592,9.78148,0,1
337,4.99688,9.79874,0,1
338,5.08808,9.81461,0,1
339,5.17948,9.82909,0,1
340,5.27105,9.84218,0,1
341,5.36276,9.85389,0,1
342,5.45456,9.86422,0,1
343,5.5464,9.87318,0,1
344,5.6382,9.88078,0,1
345,5.72984,9.88706,0,1
346,5.82111,9.89204,0,1
347,5.91162,9.8958,0,1
348,6.00042,9.89848,0,1
349,6.08524,9.90039,0,1
350,6.16847,9.90192,0,1
351,6.25095,9.90321,0,1
352,6.33303,9.90434,0,1
353,6.41488,9.90536,0,1
354,6.49659,9.90627,0,1
355,6.57819,9.9071,0,1
356,6.65973,9.90787,0,1
357,6.74122,9.90857,0,1
358,6.82268,9.90922,0,1
359,6.90412,9.90982,0,1
360,6.98554,9.91038,0,1
361,7.06695,9.9109,0,1
362,7.14835,9.91139,0,1
363,7.22975,9.91184,0,1
364,7.31115,9.91226,0,1
365,7.39255,9.91266,0,1
366,7.47395,9.91303,0,1
367,7.55536,9.91338,0,1
368,7.63677,9.91371,0,1
369,7.71818,9.91401,0,1
370,7.79961,9.9143,0,1
371,7.88104,9.91457,0,1
372,7.96247,9.91483,0,1
373,8.04391,9.91507,0,1
374,8.12536,9.91529,0,1
375,8.20681,9.91551,0,1
376,8.28828,9.91571,0,1
377,8.36974,9.9159,0,1
378,8.45122,9.91608,0,1
379,8.5327,9.91625,0,1
380,8.61418,9.91641,0,1
381,8.69567,9.91657,0,1
382,8.77717,9.91671,0,1
383,8.85867,9.91685,0,1
384,8.94017,9.91699,0,1
385,9.02168,9.91711,0,1
386,9.10319,9.91724,0,1
387,9.18471,9.91735,0,1
388,9.26623,9.91747,0,1
389,9.34775,9.91758,0,1
390,9.42927,9.91768,0,1
391,9.5108,9.91779,0,1
392,9.59233,9.91789,0,1
393,9.67386,9.91799,0,1
394,9.7554,9.91808,0,1
395,9.83693,9.91818,0,1
396,9.91846,9.91827,0,1
397,10,9.91837,0,1
398,0.163265,0,0,1
399,0.163453,0.0814384,0,1
400,0.163642,0.162876,0,1
401,0.163833,0.244312,0,1
402,0.164027,0.325745,0,1
403,0.164224,0.407176,0,1
404,0.164425,0.488603,0,1
405,0.164631,0.570026,0,1
406,0.164843,0.651445,0,1
407,0.165061,0.732858,0,1
408,0.165287,0.814265,0,1
409,0.165522,0.895665,0,1
410,0.165765,0.977059,0,1
411,0.16602,1.05844,0,1
412,0.166285,1.13982,0,1
413,0.166563,1.22119,0,1
414,0.166855,1.30255,0,1
415,0.167161,1.3839,0,1
416,0.167484,1.46523,0,1
417,0.167824,1.54656,0,1
418,0.168182,1.62788,0,1
419,0.168561,1.70918,0,1
420,0.168962,1.79047,0,1
421,0.169386,1.87175,0,1
422,0.169836,1.95301,0,1
423,0.170312,2.03426,0,1
424,0.170818,2.1155,0,1
425,0.171356,2.19673,0,1
426,0.171928,2.27794,0,1
427,0.172536,2.35914,0,1
428,0.173184,2.44033,0,1
429,0.173874,2.52151,0,1
430,0.17461,2.60269,0,1
431,0.175395,2.68386,0,1
432,0.176234,2.76502,0,1
433,0.177131,2.84618,0,1
434,0.178092,2.92735,0,1
435,0.179122,3.00853,0,1
436,0.180228,3.08973,0,1
437,0.181418,3.17096,0,1
