Ide,E,v,t
760,210000,0.3,1
761,210000,0.3,1
762,210000,0.3,1
763,210000,0.3,1
764,210000,0.3,1
765,210000,0.3,1
766,210000,0.3,1
767,210000,0.3,1
768,210000,0.3,1
769,210000,0.3,1
770,210000,0.3,1
771,210000,0.3,1
772,210000,0.3,1
773,210000,0.3,1
774,210000,0.3,1
775,210000,0.3,1
776,210000,0.3,1
777,210000,0.3,1
778,210000,0.3,1
779,210000,0.3,1
780,210000,0.3,1
781,210000,0.3,1
782,210000,0.3,1
783,210000,0.3,1
784,210000,0.3,1
785,210000,0.3,1
786,210000,0.3,1
787,210000,0.3,1
788,210000,0.3,1
789,210000,0.3,1
790,210000,0.3,1
791,210000,0.3,1
792,210000,0.3,1
793,210000,0.3,1
794,210000,0.3,1
795,210000,0.3,1
796,210000,0.3,1
797,210000,0.3,1
798,210000,0.3,1
799,210000,0.3,1
800,210000,0.3,1
801,210000,0.3,1
802,210000,0.3,1
803,210000,0.3,1
804,210000,0.3,1
805,210000,0.3,1
806,210000,0.3,1
807,210000,0.3,1
808,210000,0.3,1
809,210000,0.3,1
810,210000,0.3,1
811,210000,0.3,1
812,210000,0.3,1
813,210000,0.3,1
814,210000,0.3,1
815,210000,0.3,1
816,210000,0.3,1
817,210000,0.3,1
818,210000,0.3,1
819,210000,0.3,1
820,210000,0.3,1
821,210000,0.3,1
822,210000,0.3,1
823,210000,0.3,1
824,210000,0.3,1
825,210000,0.3,1
826,210000,0.3,1
827,210000,0.3,1
828,210000,0.3,1
829,210000,0.3,1
830,210000,0.3,1
831,210000,0.3,1
832,210000,0.3,1
833,210000,0.3,1
834,210000,0.3,1
835,210000,0.3,1
836,210000,0.3,1
837,210000,0.3,1
838,210000,0.3,1
839,210000,0.3,1
840,210000,0.3,1
841,210000,0.3,1
842,210000,0.3,1
843,210000,0.3,1
844,210000,0.3,1
845,210000,0.3,1
846,210000,0.3,1
847,210000,0.3,1
848,210000,0.3,1
849,210000,0.3,1
850,210000,0.3,1
851,210000,0.3,1
852,210000,0.3,1
853,210000,0.3,1
854,210000,0.3,1
855,210000,0.3,1
856,210000,0.3,1
857,210000,0.3,1
858,210000,0.3,1
859,210000,0.3,1
860,210000,0.3,1
861,210000,0.3,1
862,210000,0.3,1
863,210000,0.3,1
864,210000,0.3,1
865,210000,0.3,1
866,210000,0.3,1
867,210000,0.3,1
868,210000,0.3,1
869,210000,0.3,1
870,210000,0.3,1
871,210000,0.3,1
872,210000,0.3,1
873,210000,0.3,1
874,210000,0.3,1
875,210000,0.3,1
876,210000,0.3,1
877,210000,0.3,1
878,210000,0.3,1
879,210000,0.3,1
880,210000,0.3,1
881,210000,0.3,1
882,210000,0.3,1
883,210000,0.3,1
884,210000,0.3,1
885,210000,0.3,1
886,210000,0.3,1
887,210000,0.3,1
888,210000,0.3,1
889,210000,0.3,1
890,210000,0.3,1
891,210000,0.3,1
892,210000,0.3,1
893,210000,0.3,1
894,210000,0.3,1
895,210000,0.3,1
896,210000,0.3,1
897,210000,0.3,1
898,210000,0.3,1
899,210000,0.3,1
900,210000,0.3,1
901,210000,0.3,1
902,210000,0.3,1
903,210000,0.3,1
904,210000,0.3,1
905,210000,0.3,1
906,210000,0.3,1
907,210000,0.3,1
908,210000,0.3,1
909,210000,0.3,1
910,210000,0.3,1
911,210000,0.3,1
912,210000,0.3,1
913,210000,0.3,1
914,210000,0.3,1
915,210000,0.3,1
916,210000,0.3,1
917,210000,0.3,1
918,210000,0.3,1
919,210000,0.3,1
920,210000,0.3,1
921,210000,0.3,1
922,210000,0.3,1
923,210000,0.3,1
924,210000,0.3,1
925,210000,0.3,1
926,210000,0.3,1
927,210000,0.3,1
928,210000,0.3,1
929,210000,0.3,1
930,210000,0.3,1
931,210000,0.3,1
932,210000,0.3,1
933,210000,0.3,1
934,210000,0.3,1
935,210000,0.3,1
936,210000,0.3,1
937,210000,0.3,1
938,210000,0.3,1
939,210000,0.3,1
940,210000,0.3,1
941,210000,0.3,1
942,210000,0.3,1
943,210000,0.3,1
944,210000,0.3,1
945,210000,0.3,1
946,210000,0.3,1
947,210000,0.3,1
948,210000,0.3,1
949,210000,0.3,1
950,210000,0.3,1
951,210000,0.3,1
952,210000,0.3,1
953,210000,0.3,1
954,210000,0.3,1
955,210000,0.3,1
956,210000,0.3,1
957,210000,0.3,1
958,210000,0.3,1
959,210000,0.3,1
960,210000,0.3,1
961,210000,0.3,1
962,210000,0.3,1
963,210000,0.3,1
964,210000,0.3,1
965,210000,0.3,1
966,210000,0.3,1
