ID,x0,x1,u0,u1
392,22.5,57.5,0,1
393,22.5,60,0,1
394,22.5,62.5,0,1
395,22.5,65,0,1
396,22.5,67.5,0,1
397,22.5,70,0,1
398,22.5,72.5,0,1
399,22.5,75,0,1
400,22.5,77.5,0,1
401,22.5,80,0,1
402,22.5,82.5,0,1
403,22.5,85,0,1
404,22.5,87.5,0,1
405,22.5,90,0,1
406,22.5,92.5,0,1
407,22.5,95,0,1
408,22.5,97.5,0,1
409,22.5,100,0,1
410,25,0,0,1
411,25,2.5,0,1
412,25,5,0,1
413,25,7.5,0,1
414,25,10,0,1
415,25,12.5,0,1
416,25,15,0,1
417,25,17.5,0,1
418,25,20,0,1
419,25,22.5,0,1
420,25,25,0,1
421,25,27.5,0,1
422,25,30,0,1
423,25,32.5,0,1
424,25,35,0,1
425,25,37.5,0,1
426,25,40,0,1
427,25,42.5,0,1
428,25,45,0,1
429,25,47.5,0,1
430,25,50,0,1
431,25,52.5,0,1
432,25,55,0,1
433,25,57.5,0,1
434,25,60,0,1
435,25,62.5,0,1
436,25,65,0,1
437,25,67.5,0,1
438,25,70,0,1
439,25,72.5,0,1
440,25,75,0,1
441,25,77.5,0,1
442,25,80,0,1
443,25,82.5,0,1
444,25,85,0,1
445,25,87.5,0,1
446,25,90,0,1
447,25,92.5,0,1
448,25,95,0,1
449,25,97.5,0,1
450,25,100,0,1
451,27.5,0,0,1
452,27.5,2.5,0,1
453,27.5,5,0,1
454,27.5,7.5,0,1
455,27.5,10,0,1
456,27.5,12.5,0,1
457,27.5,15,0,1
458,27.5,17.5,0,1
459,27.5,20,0,1
460,27.5,22.5,0,1
461,27.5,25,0,1
462,27.5,27.5,0,1
463,27.5,30,0,1
464,27.5,32.5,0,1
465,27.5,35,0,1
466,27.5,37.5,0,1
467,27.5,40,0,1
468,27.5,42.5,0,1
469,27.5,45,0,1
470,27.5,47.5,0,1
471,27.5,50,0,1
472,27.5,52.5,0,1
473,27.5,55,0,1
474,27.5,57.5,0,1
475,27.5,60,0,1
476,27.5,62.5,0,1
477,27.5,65,0,1
478,27.5,67.5,0,1
479,27.5,70,0,1
480,27.5,72.5,0,1
481,27.5,75,0,1
482,27.5,77.5,0,1
483,27.5,80,0,1
484,27.5,82.5,0,1
485,27.5,85,0,1
486,27.5,87.5,0,1
487,27.5,90,0,1
488,27.5,92.5,0,1
489,27.5,95,0,1
490,27.5,97.5,0,1
491,27.5,100,0,1
492,30,0,0,1
493,30,2.5,0,1
494,30,5,0,1
495,30,7.5,0,1
496,30,10,0,1
497,30,12.5,0,1
498,30,15,0,1
499,30,17.5,0,1
500,30,20,0,1
501,30,22.5,0,1
502,30,25,0,1
503,30,27.5,0,1
504,30,30,0,1
505,30,32.5,0,1
506,30,35,0,1
507,30,37.5,0,1
508,30,40,0,1
509,30,42.5,0,1
510,30,45,0,1
511,30,47.5,0,1
512,30,50,0,1
513,30,52.5,0,1
514,30,55,0,1
515,30,57.5,0,1
516,30,60,0,1
517,30,62.5,0,1
518,30,65,0,1
519,30,67.5,0,1
520,30,70,0,1
521,30,72.5,0,1
522,30,75,0,1
523,30,77.5,0,1
524,30,80,0,1
525,30,82.5,0,1
526,30,85,0,1
527,30,87.5,0,1
528,30,90,0,1
529,30,92.5,0,1
530,30,95,0,1
531,30,97.5,0,1
532,30,100,0,1
533,32.5,0,0,1
534,32.5,2.5,0,1
535,32.5,5,0,1
536,32.5,7.5,0,1
537,32.5,10,0,1
538,32.5,12.5,0,1
539,32.5,15,0,1
540,32.5,17.5,0,1
541,32.5,20,0,1
542,32.5,22.5,0,1
543,32.5,25,0,1
544,32.5,27.5,0,1
545,32.5,30,0,1
546,32.5,32.5,0,1
547,32.5,35,0,1
548,32.5,37.5,0,1
549,32.5,40,0,1
550,32.5,42.5,0,1
551,32.5,45,0,1
552,32.5,47.5,0,1
553,32.5,50,0,1
554,32.5,52.5,0,1
555,32.5,55,0,1
556,32.5,57.5,0,1
557,32.5,60,0,1
558,32.5,62.5,0,1
559,32.5,65,0,1
560,32.5,67.5,0,1
561,32.5,70,0,1
562,32.5,72.5,0,1
563,32.5,75,0,1
564,32.5,77.5,0,1
565,32.5,80,0,1
566,32.5,82.5,0,1
567,32.5,85,0,1
568,32.5,87.5,0,1
569,32.5,90,0,1
570,32.5,92.5,0,1
571,32.5,95,0,1
572,32.5,97.5,0,1
573,32.5,100,0,1
574,35,0,0,1
575,35,2.5,0,1
576,35,5,0,1
577,35,7.5,0,1
578,35,10,0,1
579,35,12.5,0,1
580,35,15,0,1
581,35,17.5,0,1
582,35,20,0,1
583,35,22.5,0,1
584,35,25,0,1
585,35,27.5,0,1
586,35,30,0,1
587,35,32.5,0,1
588,35,35,0,1
589,35,37.5,0,1
590,35,40,0,1
591,35,42.5,0,1
592,35,45,0,1
593,35,47.5,0,1
594,35,50,0,1
595,35,52.5,0,1
596,35,55,0,1
597,35,57.5,0,1
598,35,60,0,1
599,35,62.5,0,1
600,35,65,0,1
601,35,67.5,0,1
602,35,70,0,1
603,35,72.5,0,1
604,35,75,0,1
605,35,77.5,0,1
606,35,80,0,1
607,35,82.5,0,1
608,35,85,0,1
609,35,87.5,0,1
610,35,90,0,1
611,35,92.5,0,1
612,35,95,0,1
613,35,97.5,0,1
614,35,100,0,1
615,37.5,0,0,1
616,37.5,2.5,0,1
617,37.5,5,0,1
618,37.5,7.5,0,1
619,37.5,10,0,1
620,37.5,12.5,0,1
621,37.5,15,0,1
622,37.5,17.5,0,1
623,37.5,20,0,1
624,37.5,22.5,0,1
625,37.5,25,0,1
626,37.5,27.5,0,1
627,37.5,30,0,1
628,37.5,32.5,0,1
629,37.5,35,0,1
630,37.5,37.5,0,1
631,37.5,40,0,1
632,37.5,42.5,0,1
633,37.5,45,0,1
634,37.5,47.5,0,1
635,37.5,50,0,1
636,37.5,52.5,0,1
637,37.5,55,0,1
638,37.5,57.5,0,1
639,37.5,60,0,1
640,37.5,62.5,0,1
641,37.5,65,0,1
642,37.5,67.5,0,1
643,37.5,70,0,1
644,37.5,72.5,0,1
645,37.5,75,0,1
646,37.5,77.5,0,1
647,37.5,80,0,1
648,37.5,82.5,0,1
649,37.5,85,0,1
650,37.5,87.5,0,1
651,37.5,90,0,1
652,37.5,92.5,0,1
653,37.5,95,0,1
654,37.5,97.5,0,1
655,37.5,100,0,1
656,40,0,0,1
657,40,2.5,0,1
658,40,5,0,1
659,40,7.5,0,1
660,40,10,0,1
661,40,12.5,0,1
662,40,15,0,1
663,40,17.5,0,1
664,40,20,0,1
665,40,22.5,0,1
666,40,25,0,1
667,40,27.5,0,1
668,40,30,0,1
669,40,32.5,0,1
670,40,35,0,1
671,40,37.5,0,1
672,40,40,0,1
673,40,42.5,0,1
674,40,45,0,1
675,40,47.5,0,1
676,40,50,0,1
677,40,52.5,0,1
678,40,55,0,1
679,40,57.5,0,1
680,40,60,0,1
681,40,62.5,0,1
682,40,65,0,1
683,40,67.5,0,1
684,40,70,0,1
685,40,72.5,0,1
686,40,75,0,1
687,40,77.5,0,1
688,40,80,0,1
689,40,82.5,0,1
690,40,85,0,1
691,40,87.5,0,1
692,40,90,0,1
693,40,92.5,0,1
694,40,95,0,1
695,40,97.5,0,1
696,40,100,0,1
697,42.5,0,0,1
698,42.5,2.5,0,1
699,42.5,5,0,1
700,42.5,7.5,0,1
701,42.5,10,0,1
702,42.5,12.5,0,1
703,42.5,15,0,1
704,42.5,17.5,0,1
705,42.5,20,0,1
706,42.5,22.5,0,1
707,42.5,25,0,1
708,42.5,27.5,0,1
709,42.5,30,0,1
710,42.5,32.5,0,1
711,42.5,35,0,1
712,42.5,37.5,0,1
713,42.5,40,0,1
714,42.5,42.5,0,1
715,42.5,45,0,1
716,42.5,47.5,0,1
717,42.5,50,0,1
718,42.5,52.5,0,1
719,42.5,55,0,1
720,42.5,57.5,0,1
721,42.5,60,0,1
722,42.5,62.5,0,1
723,42.5,65,0,1
724,42.5,67.5,0,1
725,42.5,70,0,1
726,42.5,72.5,0,1
