ID,x0,x1,x2,u0,u1,u2
303,15,2.5,2.5,0,1,2
304,17.5,2.5,2.5,0,1,2
305,20,2.5,2.5,0,1,2
306,22.5,2.5,2.5,0,1,2
307,25,2.5,2.5,0,1,2
308,0,5,2.5,0,1,2
309,2.5,5,2.5,0,1,2
310,5,5,2.5,0,1,2
311,7.5,5,2.5,0,1,2
312,10,5,2.5,0,1,2
313,12.5,5,2.5,0,1,2
314,15,5,2.5,0,1,2
315,17.5,5,2.5,0,1,2
316,20,5,2.5,0,1,2
317,22.5,5,2.5,0,1,2
318,25,5,2.5,0,1,2
319,0,7.5,2.5,0,1,2
320,2.5,7.5,2.5,0,1,2
321,5,7.5,2.5,0,1,2
322,7.5,7.5,2.5,0,1,2
323,10,7.5,2.5,0,1,2
324,12.5,7.5,2.5,0,1,2
325,15,7.5,2.5,0,1,2
326,17.5,7.5,2.5,0,1,2
327,20,7.5,2.5,0,1,2
328,22.5,7.5,2.5,0,1,2
329,25,7.5,2.5,0,1,2
330,0,10,2.5,0,1,2
331,2.5,10,2.5,0,1,2
332,5,10,2.5,0,1,2
333,7.5,10,2.5,0,1,2
334,10,10,2.5,0,1,2
335,12.5,10,2.5,0,1,2
336,15,10,2.5,0,1,2
337,17.5,10,2.5,0,1,2
338,20,10,2.5,0,1,2
339,22.5,10,2.5,0,1,2
340,25,10,2.5,0,1,2
341,0,12.5,2.5,0,1,2
342,2.5,12.5,2.5,0,1,2
343,5,12.5,2.5,0,1,2
344,7.5,12.5,2.5,0,1,2
345,10,12.5,2.5,0,1,2
346,12.5,12.5,2.5,0,1,2
347,15,12.5,2.5,0,1,2
348,17.5,12.5,2.5,0,1,2
349,20,12.5,2.5,0,1,2
350,22.5,12.5,2.5,0,1,2
351,25,12.5,2.5,0,1,2
352,0,15,2.5,0,1,2
353,2.5,15,2.5,0,1,2
354,5,15,2.5,0,1,2
355,7.5,15,2.5,0,1,2
356,10,15,2.5,0,1,2
357,12.5,15,2.5,0,1,2
358,15,15,2.5,0,1,2
359,17.5,15,2.5,0,1,2
360,20,15,2.5,0,1,2
361,22.5,15,2.5,0,1,2
362,25,15,2.5,0,1,2
363,0,17.5,2.5,0,1,2
364,2.5,17.5,2.5,0,1,2
365,5,17.5,2.5,0,1,2
366,7.5,17.5,2.5,0,1,2
367,10,17.5,2.5,0,1,2
368,12.5,17.5,2.5,0,1,2
369,15,17.5,2.5,0,1,2
370,17.5,17.5,2.5,0,1,2
371,20,17.5,2.5,0,1,2
372,22.5,17.5,2.5,0,1,2
373,25,17.5,2.5,0,1,2
374,0,20,2.5,0,1,2
375,2.5,20,2.5,0,1,2
376,5,20,2.5,0,1,2
377,7.5,20,2.5,0,1,2
378,10,20,2.5,0,1,2
379,12.5,20,2.5,0,1,2
380,15,20,2.5,0,1,2
381,17.5,20,2.5,0,1,2
382,20,20,2.5,0,1,2
383,22.5,20,2.5,0,1,2
384,25,20,2.5,0,1,2
385,0,22.5,2.5,0,1,2
386,2.5,22.5,2.5,0,1,2
387,5,22.5,2.5,0,1,2
388,7.5,22.5,2.5,0,1,2
389,10,22.5,2.5,0,1,2
390,12.5,22.5,2.5,0,1,2
391,15,22.5,2.5,0,1,2
392,17.5,22.5,2.5,0,1,2
393,20,22.5,2.5,0,1,2
394,22.5,22.5,2.5,0,1,2
395,25,22.5,2.5,0,1,2
396,0,25,2.5,0,1,2
397,2.5,25,2.5,0,1,2
398,5,25,2.5,0,1,2
399,7.5,25,2.5,0,1,2
400,10,25,2.5,0,1,2
401,12.5,25,2.5,0,1,2
402,15,25,2.5,0,1,2
403,17.5,25,2.5,0,1,2
404,20,25,2.5,0,1,2
405,22.5,25,2.5,0,1,2
406,25,25,2.5,0,1,2
407,0,27.5,2.5,0,1,2
408,2.5,27.5,2.5,0,1,2
409,5,27.5,2.5,0,1,2
410,7.5,27.5,2.5,0,1,2
411,10,27.5,2.5,0,1,2
412,12.5,27.5,2.5,0,1,2
413,15,27.5,2.5,0,1,2
414,17.5,27.5,2.5,0,1,2
415,20,27.5,2.5,0,1,2
416,22.5,27.5,2.5,0,1,2
417,25,27.5,2.5,0,1,2
418,0,30,2.5,0,1,2
419,2.5,30,2.5,0,1,2
420,5,30,2.5,0,1,2
421,7.5,30,2.5,0,1,2
422,10,30,2.5,0,1,2
423,12.5,30,2.5,0,1,2
424,15,30,2.5,0,1,2
425,17.5,30,2.5,0,1,2
426,20,30,2.5,0,1,2
427,22.5,30,2.5,0,1,2
428,25,30,2.5,0,1,2
429,0,32.5,2.5,0,1,2
430,2.5,32.5,2.5,0,1,2
431,5,32.5,2.5,0,1,2
432,7.5,32.5,2.5,0,1,2
433,10,32.5,2.5,0,1,2
434,12.5,32.5,2.5,0,1,2
435,15,32.5,2.5,0,1,2
436,17.5,32.5,2.5,0,1,2
437,20,32.5,2.5,0,1,2
438,22.5,32.5,2.5,0,1,2
439,25,32.5,2.5,0,1,2
440,0,35,2.5,0,1,2
441,2.5,35,2.5,0,1,2
442,5,35,2.5,0,1,2
443,7.5,35,2.5,0,1,2
444,10,35,2.5,0,1,2
445,12.5,35,2.5,0,1,2
446,15,35,2.5,0,1,2
447,17.5,35,2.5,0,1,2
448,20,35,2.5,0,1,2
449,22.5,35,2.5,0,1,2
450,25,35,2.5,0,1,2
451,0,37.5,2.5,0,1,2
452,2.5,37.5,2.5,0,1,2
453,5,37.5,2.5,0,1,2
