id,idn,u0,u1,u2
514,24462,0,0,0
515,24527,0,0,0
516,24585,0,0,0
517,24593,0,0,0
518,24594,0,0,0
519,24595,0,0,0
520,24596,0,0,0
521,24960,0,0,0
522,24961,0,0,0
523,24962,0,0,0
524,24974,0,0,0
525,24975,0,0,0
526,24976,0,0,0
527,26133,0,0,0
528,26134,0,0,0
529,26313,0,0,0
530,26314,0,0,0
531,26316,0,0,0
532,26368,0,0,0
533,26928,0,0,0
534,26929,0,0,0
535,26949,0,0,0
536,26950,0,0,0
537,27029,0,0,0
538,27250,0,0,0
539,27536,0,0,0
540,28315,0,0,0
541,28347,0,0,0
542,28702,0,0,0
543,29268,0,0,0
544,29269,0,0,0
545,29270,0,0,0
546,29276,0,0,0
547,29278,0,0,0
548,29284,0,0,0
549,29285,0,0,0
550,29286,0,0,0
551,29297,0,0,0
552,29420,0,0,0
553,29421,0,0,0
554,29422,0,0,0
555,30226,0,0,0
556,30227,0,0,0
557,30228,0,0,0
558,30229,0,0,0
559,30230,0,0,0
560,30240,0,0,0
561,30241,0,0,0
562,30250,0,0,0
563,30254,0,0,0
564,30274,0,0,0
565,30275,0,0,0
566,30276,0,0,0
567,30672,0,0,0
568,30858,0,0,0
569,30884,0,0,0
570,30885,0,0,0
571,30886,0,0,0
572,30887,0,0,0
573,30888,0,0,0
574,31077,0,0,0
575,31600,0,0,0
576,31666,0,0,0
577,31678,0,0,0
578,31679,0,0,0
579,31680,0,0,0
580,31681,0,0,0
581,31682,0,0,0
582,31684,0,0,0
583,32073,0,0,0
584,32118,0,0,0
585,32119,0,0,0
586,32203,0,0,0
587,32204,0,0,0
588,32205,0,0,0
589,32206,0,0,0
590,32214,0,0,0
591,32611,0,0,0
592,32612,0,0,0
593,32613,0,0,0
594,32614,0,0,0
595,32615,0,0,0
596,32849,0,0,0
597,32850,0,0,0
598,32851,0,0,0
599,32871,0,0,0
600,32872,0,0,0
601,32897,0,0,0
602,32898,0,0,0
603,33220,0,0,0
604,33227,0,0,0
605,33228,0,0,0
606,33341,0,0,0
607,33344,0,0,0
608,33345,0,0,0
609,33430,0,0,0
610,33561,0,0,0
611,33582,0,0,0
612,33603,0,0,0
613,33800,0,0,0
614,33837,0,0,0
615,33875,0,0,0
616,34165,0,0,0
617,34177,0,0,0
618,34257,0,0,0
619,34286,0,0,0
620,34306,0,0,0
621,34307,0,0,0
622,34308,0,0,0
623,34309,0,0,0
624,34320,0,0,0
625,34340,0,0,0
626,34551,0,0,0
627,34760,0,0,0
628,35036,0,0,0
629,35037,0,0,0
630,35039,0,0,0
631,35040,0,0,0
632,35202,0,0,0
633,35203,0,0,0
634,35204,0,0,0
635,35206,0,0,0
636,35239,0,0,0
637,35240,0,0,0
638,35241,0,0,0
639,35242,0,0,0
640,35364,0,0,0
641,35365,0,0,0
642,35366,0,0,0
643,35367,0,0,0
644,35895,0,0,0
645,35896,0,0,0
646,35897,0,0,0
647,35941,0,0,0
648,35942,0,0,0
649,35943,0,0,0
650,35944,0,0,0
651,36421,0,0,0
652,36422,0,0,0
653,37797,0,0,0
654,37799,0,0,0
655,37800,0,0,0
656,37897,0,0,0
657,37898,0,0,0
658,37899,0,0,0
659,37900,0,0,0
660,37901,0,0,0
661,37920,0,0,0
662,37921,0,0,0
663,37922,0,0,0
664,37923,0,0,0
665,38088,0,0,0
666,38090,0,0,0
667,38091,0,0,0
668,38092,0,0,0
669,38133,0,0,0
670,38134,0,0,0
671,38135,0,0,0
672,38292,0,0,0
673,38293,0,0,0
674,38294,0,0,0
675,38295,0,0,0
676,38357,0,0,0
677,38358,0,0,0
678,38538,0,0,0
679,38539,0,0,0
680,38540,0,0,0
681,38541,0,0,0
682,40156,0,0,0
683,40157,0,0,0
684,40158,0,0,0
685,40159,0,0,0
686,40160,0,0,0
687,40329,0,0,0
688,40330,0,0,0
689,40331,0,0,0
690,40550,0,0,0
691,40551,0,0,0
692,40552,0,0,0
693,40553,0,0,0
694,40601,0,0,0
695,40660,0,0,0
696,40661,0,0,0
697,40663,0,0,0
698,40680,0,0,0
699,40681,0,0,0
700,40700,0,0,0
701,40701,0,0,0
702,40702,0,0,0
703,40703,0,0,0
704,40999,0,0,0
705,41000,0,0,0
706,41001,0,0,0
707,41002,0,0,0
708,41351,0,0,0
709,41352,0,0,0
710,41353,0,0,0
711,41354,0,0,0
712,41381,0,0,0
713,41382,0,0,0
714,41383,0,0,0
715,41384,0,0,0
716,41385,0,0,0
717,41461,0,0,0
718,41463,0,0,0
719,41464,0,0,0
720,41537,0,0,0
721,41546,0,0,0
722,41547,0,0,0
723,41548,0,0,0
724,41549,0,0,0
725,41550,0,0,0
726,42041,0,0,0
727,42042,0,0,0
728,42043,0,0,0
729,42044,0,0,0
730,42058,0,0,0
731,42059,0,0,0
732,42060,0,0,0
733,42061,0,0,0
734,42062,0,0,0
735,42080,0,0,0
736,42081,0,0,0
737,43828,0,0,0
738,43829,0,0,0
739,43830,0,0,0
740,43831,0,0,0
741,44103,0,0,0
742,44104,0,0,0
743,44105,0,0,0
744,44106,0,0,0
745,44107,0,0,0
746,44114,0,0,0
747,44115,0,0,0
748,44184,0,0,0
749,44185,0,0,0
750,44186,0,0,0
751,44198,0,0,0
752,44199,0,0,0
753,44200,0,0,0
754,44231,0,0,0
755,44232,0,0,0
