id,idn,q0,q1,q2
98,441,0.000146649,0.000146649,0.000146649
99,442,0.000146649,0.000146649,0.000146649
100,862,0.000146649,0.000146649,0.000146649
101,863,0.000146649,0.000146649,0.000146649
102,864,0.000146649,0.000146649,0.000146649
103,865,0.000146649,0.000146649,0.000146649
104,866,0.000146649,0.000146649,0.000146649
105,875,0.000146649,0.000146649,0.000146649
106,883,0.000146649,0.000146649,0.000146649
107,884,0.000146649,0.000146649,0.000146649
108,885,0.000146649,0.000146649,0.000146649
109,886,0.000146649,0.000146649,0.000146649
110,887,0.000146649,0.000146649,0.000146649
111,3705,0.000146649,0.000146649,0.000146649
112,3706,0.000146649,0.000146649,0.000146649
113,3707,0.000146649,0.000146649,0.000146649
114,3708,0.000146649,0.000146649,0.000146649
115,3709,0.000146649,0.000146649,0.000146649
116,3717,0.000146649,0.000146649,0.000146649
117,3718,0.000146649,0.000146649,0.000146649
118,3719,0.000146649,0.000146649,0.000146649
119,3720,0.000146649,0.000146649,0.000146649
120,3721,0.000146649,0.000146649,0.000146649
121,3722,0.000146649,0.000146649,0.000146649
122,3723,0.000146649,0.000146649,0.000146649
123,3724,0.000146649,0.000146649,0.000146649
124,3725,0.000146649,0.000146649,0.000146649
125,3726,0.000146649,0.000146649,0.000146649
126,3727,0.000146649,0.000146649,0.000146649
127,3728,0.000146649,0.000146649,0.000146649
128,3729,0.000146649,0.000146649,0.000146649
129,3730,0.000146649,0.000146649,0.000146649
130,3731,0.000146649,0.000146649,0.000146649
131,3732,0.000146649,0.000146649,0.000146649
132,3735,0.000146649,0.000146649,0.000146649
133,3736,0.000146649,0.000146649,0.000146649
134,3737,0.000146649,0.000146649,0.000146649
135,3738,0.000146649,0.000146649,0.000146649
136,3739,0.000146649,0.000146649,0.000146649
137,3740,0.000146649,0.000146649,0.000146649
138,3741,0.000146649,0.000146649,0.000146649
139,3774,0.000146649,0.000146649,0.000146649
140,3775,0.000146649,0.000146649,0.000146649
141,3776,0.000146649,0.000146649,0.000146649
142,3777,0.000146649,0.000146649,0.000146649
143,3778,0.000146649,0.000146649,0.000146649
144,3780,0.000146649,0.000146649,0.000146649
145,3781,0.000146649,0.000146649,0.000146649
146,3782,0.000146649,0.000146649,0.000146649
147,3783,0.000146649,0.000146649,0.000146649
148,3784,0.000146649,0.000146649,0.000146649
149,3785,0.000146649,0.000146649,0.000146649
150,3786,0.000146649,0.000146649,0.000146649
151,3787,0.000146649,0.000146649,0.000146649
152,3788,0.000146649,0.000146649,0.000146649
153,3789,0.000146649,0.000146649,0.000146649
154,3790,0.000146649,0.000146649,0.000146649
155,3791,0.000146649,0.000146649,0.000146649
156,3792,0.000146649,0.000146649,0.000146649
157,3793,0.000146649,0.000146649,0.000146649
158,3794,0.000146649,0.000146649,0.000146649
159,3795,0.000146649,0.000146649,0.000146649
160,3796,0.000146649,0.000146649,0.000146649
161,3797,0.000146649,0.000146649,0.000146649
162,3798,0.000146649,0.000146649,0.000146649
163,3799,0.000146649,0.000146649,0.000146649
164,3800,0.000146649,0.000146649,0.000146649
165,3801,0.000146649,0.000146649,0.000146649
166,3802,0.000146649,0.000146649,0.000146649
167,3803,0.000146649,0.000146649,0.000146649
168,3804,0.000146649,0.000146649,0.000146649
169,3805,0.000146649,0.000146649,0.000146649
170,3806,0.000146649,0.000146649,0.000146649
171,3807,0.000146649,0.000146649,0.000146649
172,3808,0.000146649,0.000146649,0.000146649
173,3809,0.000146649,0.000146649,0.000146649
174,3810,0.000146649,0.000146649,0.000146649
175,3811,0.000146649,0.000146649,0.000146649
176,3812,0.000146649,0.000146649,0.000146649
177,3813,0.000146649,0.000146649,0.000146649
178,3814,0.000146649,0.000146649,0.000146649
179,3815,0.000146649,0.000146649,0.000146649
180,3816,0.000146649,0.000146649,0.000146649
181,3817,0.000146649,0.000146649,0.000146649
182,3818,0.000146649,0.000146649,0.000146649
183,3819,0.000146649,0.000146649,0.000146649
184,3820,0.000146649,0.000146649,0.000146649
185,3821,0.000146649,0.000146649,0.000146649
186,3822,0.000146649,0.000146649,0.000146649
187,3823,0.000146649,0.000146649,0.000146649
188,3824,0.000146649,0.000146649,0.000146649
189,3825,0.000146649,0.000146649,0.000146649
190,3826,0.000146649,0.000146649,0.000146649
191,3827,0.000146649,0.000146649,0.000146649
192,3828,0.000146649,0.000146649,0.000146649
193,3829,0.000146649,0.000146649,0.000146649
194,3830,0.000146649,0.000146649,0.000146649
195,3831,0.000146649,0.000146649,0.000146649
196,3832,0.000146649,0.000146649,0.000146649
197,3833,0.000146649,0.000146649,0.000146649
198,3834,0.000146649,0.000146649,0.000146649
199,3835,0.000146649,0.000146649,0.000146649
