id,ide,E,ƒË,t,rho
455,455,210000,0,0.01,7.80E-06
456,456,210000,0,0.01,7.80E-06
457,457,210000,0,0.01,7.80E-06
458,458,210000,0,0.01,7.80E-06
459,459,210000,0,0.01,7.80E-06
460,460,210000,0,0.01,7.80E-06
461,461,210000,0,0.01,7.80E-06
462,462,210000,0,0.01,7.80E-06
463,463,210000,0,0.01,7.80E-06
464,464,210000,0,0.01,7.80E-06
465,465,210000,0,0.01,7.80E-06
466,466,210000,0,0.01,7.80E-06
467,467,210000,0,0.01,7.80E-06
468,468,210000,0,0.01,7.80E-06
469,469,210000,0,0.01,7.80E-06
470,470,210000,0,0.01,7.80E-06
471,471,210000,0,0.01,7.80E-06
472,472,210000,0,0.01,7.80E-06
473,473,210000,0,0.01,7.80E-06
474,474,210000,0,0.01,7.80E-06
475,475,210000,0,0.01,7.80E-06
476,476,210000,0,0.01,7.80E-06
477,477,210000,0,0.01,7.80E-06
478,478,210000,0,0.01,7.80E-06
479,479,210000,0,0.01,7.80E-06
480,480,210000,0,0.01,7.80E-06
481,481,210000,0,0.01,7.80E-06
482,482,210000,0,0.01,7.80E-06
483,483,210000,0,0.01,7.80E-06
484,484,210000,0,0.01,7.80E-06
485,485,210000,0,0.01,7.80E-06
486,486,210000,0,0.01,7.80E-06
487,487,210000,0,0.01,7.80E-06
488,488,210000,0,0.01,7.80E-06
489,489,210000,0,0.01,7.80E-06
490,490,210000,0,0.01,7.80E-06
491,491,210000,0,0.01,7.80E-06
492,492,210000,0,0.01,7.80E-06
493,493,210000,0,0.01,7.80E-06
494,494,210000,0,0.01,7.80E-06
495,495,210000,0,0.01,7.80E-06
496,496,210000,0,0.01,7.80E-06
497,497,210000,0,0.01,7.80E-06
498,498,210000,0,0.01,7.80E-06
499,499,210000,0,0.01,7.80E-06
500,500,210000,0,0.01,7.80E-06
501,501,210000,0,0.01,7.80E-06
502,502,210000,0,0.01,7.80E-06
503,503,210000,0,0.01,7.80E-06
504,504,210000,0,0.01,7.80E-06
505,505,210000,0,0.01,7.80E-06
506,506,210000,0,0.01,7.80E-06
507,507,210000,0,0.01,7.80E-06
508,508,210000,0,0.01,7.80E-06
509,509,210000,0,0.01,7.80E-06
510,510,210000,0,0.01,7.80E-06
511,511,210000,0,0.01,7.80E-06
512,512,210000,0,0.01,7.80E-06
513,513,210000,0,0.01,7.80E-06
514,514,210000,0,0.01,7.80E-06
515,515,210000,0,0.01,7.80E-06
516,516,210000,0,0.01,7.80E-06
517,517,210000,0,0.01,7.80E-06
518,518,210000,0,0.01,7.80E-06
519,519,210000,0,0.01,7.80E-06
520,520,210000,0,0.01,7.80E-06
521,521,210000,0,0.01,7.80E-06
522,522,210000,0,0.01,7.80E-06
523,523,210000,0,0.01,7.80E-06
524,524,210000,0,0.01,7.80E-06
525,525,210000,0,0.01,7.80E-06
526,526,210000,0,0.01,7.80E-06
527,527,210000,0,0.01,7.80E-06
528,528,210000,0,0.01,7.80E-06
529,529,210000,0,0.01,7.80E-06
530,530,210000,0,0.01,7.80E-06
531,531,210000,0,0.01,7.80E-06
532,532,210000,0,0.01,7.80E-06
533,533,210000,0,0.01,7.80E-06
534,534,210000,0,0.01,7.80E-06
535,535,210000,0,0.01,7.80E-06
536,536,210000,0,0.01,7.80E-06
537,537,210000,0,0.01,7.80E-06
538,538,210000,0,0.01,7.80E-06
539,539,210000,0,0.01,7.80E-06
540,540,210000,0,0.01,7.80E-06
541,541,210000,0,0.01,7.80E-06
542,542,210000,0,0.01,7.80E-06
543,543,210000,0,0.01,7.80E-06
544,544,210000,0,0.01,7.80E-06
545,545,210000,0,0.01,7.80E-06
546,546,210000,0,0.01,7.80E-06
547,547,210000,0,0.01,7.80E-06
548,548,210000,0,0.01,7.80E-06
549,549,210000,0,0.01,7.80E-06
550,550,210000,0,0.01,7.80E-06
551,551,210000,0,0.01,7.80E-06
552,552,210000,0,0.01,7.80E-06
553,553,210000,0,0.01,7.80E-06
554,554,210000,0,0.01,7.80E-06
555,555,210000,0,0.01,7.80E-06
556,556,210000,0,0.01,7.80E-06
557,557,210000,0,0.01,7.80E-06
558,558,210000,0,0.01,7.80E-06
559,559,210000,0,0.01,7.80E-06
560,560,210000,0,0.01,7.80E-06
561,561,210000,0,0.01,7.80E-06
562,562,210000,0,0.01,7.80E-06
563,563,210000,0,0.01,7.80E-06
564,564,210000,0,0.01,7.80E-06
565,565,210000,0,0.01,7.80E-06
566,566,210000,0,0.01,7.80E-06
567,567,210000,0,0.01,7.80E-06
568,568,210000,0,0.01,7.80E-06
569,569,210000,0,0.01,7.80E-06
570,570,210000,0,0.01,7.80E-06
571,571,210000,0,0.01,7.80E-06
572,572,210000,0,0.01,7.80E-06
573,573,210000,0,0.01,7.80E-06
574,574,210000,0,0.01,7.80E-06
575,575,210000,0,0.01,7.80E-06
576,576,210000,0,0.01,7.80E-06
577,577,210000,0,0.01,7.80E-06
578,578,210000,0,0.01,7.80E-06
579,579,210000,0,0.01,7.80E-06
580,580,210000,0,0.01,7.80E-06
581,581,210000,0,0.01,7.80E-06
582,582,210000,0,0.01,7.80E-06
583,583,210000,0,0.01,7.80E-06
584,584,210000,0,0.01,7.80E-06
585,585,210000,0,0.01,7.80E-06
586,586,210000,0,0.01,7.80E-06
587,587,210000,0,0.01,7.80E-06
588,588,210000,0,0.01,7.80E-06
589,589,210000,0,0.01,7.80E-06
590,590,210000,0,0.01,7.80E-06
591,591,210000,0,0.01,7.80E-06
592,592,210000,0,0.01,7.80E-06
593,593,210000,0,0.01,7.80E-06
594,594,210000,0,0.01,7.80E-06
595,595,210000,0,0.01,7.80E-06
596,596,210000,0,0.01,7.80E-06
597,597,210000,0,0.01,7.80E-06
598,598,210000,0,0.01,7.80E-06
599,599,210000,0,0.01,7.80E-06
600,600,210000,0,0.01,7.80E-06
601,601,210000,0,0.01,7.80E-06
602,602,210000,0,0.01,7.80E-06
603,603,210000,0,0.01,7.80E-06
604,604,210000,0,0.01,7.80E-06
605,605,210000,0,0.01,7.80E-06
606,606,210000,0,0.01,7.80E-06
607,607,210000,0,0.01,7.80E-06
608,608,210000,0,0.01,7.80E-06
609,609,210000,0,0.01,7.80E-06
610,610,210000,0,0.01,7.80E-06
611,611,210000,0,0.01,7.80E-06
612,612,210000,0,0.01,7.80E-06
613,613,210000,0,0.01,7.80E-06
614,614,210000,0,0.01,7.80E-06
615,615,210000,0,0.01,7.80E-06
616,616,210000,0,0.01,7.80E-06
